Time,Glaz_BL31081_w3,Glaz_V106955_w3
0.0,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
1.5,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
2.0,"['1.0000', '1.0000', 'NS']","['0.3545', '1.0000', 'NS']"
2.5,"['0.0533', '1.0000', 'NS']","['0.3545', '1.0000', 'NS']"
3.0,"['0.1218', '1.0000', 'NS']","['0.2567', '1.0000', 'NS']"
3.5,"['0.3287', '1.0000', 'NS']","['0.7072', '1.0000', 'NS']"
4.0,"['0.3106', '1.0000', 'NS']","['0.4689', '1.0000', 'NS']"
4.5,"['0.4295', '1.0000', 'NS']","['0.4295', '1.0000', 'NS']"
5.0,"['0.5672', '1.0000', 'NS']","['0.2524', '1.0000', 'NS']"
5.5,"['0.5338', '1.0000', 'NS']","['0.3660', '1.0000', 'NS']"
6.0,"['0.8357', '1.0000', 'NS']","['0.3660', '1.0000', 'NS']"
6.5,"['0.9452', '1.0000', 'NS']","['0.6282', '1.0000', 'NS']"
7.0,"['0.8357', '1.0000', 'NS']","['0.8357', '1.0000', 'NS']"
7.5,"['0.6282', '1.0000', 'NS']","['0.9452', '1.0000', 'NS']"
8.0,"['0.6282', '1.0000', 'NS']","['0.9452', '1.0000', 'NS']"
8.5,"['0.7308', '1.0000', 'NS']","['0.9452', '1.0000', 'NS']"
9.0,"['0.3660', '1.0000', 'NS']","['0.8357', '1.0000', 'NS']"
9.5,"['0.4452', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
10.0,"['0.3660', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
