Time,Glaz_BL31081_w3,Glaz_V106955_w3
0.0,"['1.0000', 'NS']","['1.0000', 'NS']"
0.5,"['0.1399', 'NS']","['0.1399', 'NS']"
1.0,"['0.1853', 'NS']","['0.2116', 'NS']"
1.5,"['0.5180', 'NS']","['0.5180', 'NS']"
2.0,"['0.5338', 'NS']","['0.3660', 'NS']"
2.5,"['0.6282', 'NS']","['0.2949', 'NS']"
3.0,"['0.7308', 'NS']","['0.6282', 'NS']"
3.5,"['0.8357', 'NS']","['1.0000', 'NS']"
4.0,"['0.5338', 'NS']","['0.6282', 'NS']"
4.5,"['0.8357', 'NS']","['0.8357', 'NS']"
5.0,"['0.3660', 'NS']","['0.2949', 'NS']"
5.5,"['0.1807', 'NS']","['0.1375', 'NS']"
6.0,"['0.1807', 'NS']","['0.2343', 'NS']"
6.5,"['0.1807', 'NS']","['0.2343', 'NS']"
7.0,"['0.2949', 'NS']","['0.2343', 'NS']"
7.5,"['0.7308', 'NS']","['0.4452', 'NS']"
8.0,"['0.9452', 'NS']","['0.8357', 'NS']"
8.5,"['0.8357', 'NS']","['0.5338', 'NS']"
9.0,"['1.0000', 'NS']","['0.6282', 'NS']"
9.5,"['0.9452', 'NS']","['0.6282', 'NS']"
10.0,"['1.0000', 'NS']","['0.5338', 'NS']"
