Time,Glaz_BL31081_w3,Glaz_V106955_w3
0.0,"['0.3660', '0.9591', 'NS']","['0.8357', '1.0000', 'NS']"
0.5,"['0.6282', '0.9591', 'NS']","['0.4452', '0.9591', 'NS']"
1.0,"['0.8357', '1.0000', 'NS']","['0.8357', '1.0000', 'NS']"
1.5,"['0.5338', '0.9591', 'NS']","['0.9452', '1.0000', 'NS']"
2.0,"['0.6282', '0.9591', 'NS']","['0.7308', '0.9591', 'NS']"
2.5,"['0.7308', '0.9591', 'NS']","['0.9452', '1.0000', 'NS']"
3.0,"['0.1807', '0.8430', 'NS']","['0.7308', '0.9591', 'NS']"
3.5,"['0.9452', '1.0000', 'NS']","['0.9452', '1.0000', 'NS']"
4.0,"['1.0000', '1.0000', 'NS']","['0.6282', '0.9591', 'NS']"
4.5,"['0.3660', '0.9591', 'NS']","['0.6282', '0.9591', 'NS']"
5.0,"['0.0734', '0.8430', 'NS']","['0.1375', '0.8430', 'NS']"
5.5,"['0.0221', '0.8430', 'NS']","['0.1014', '0.8430', 'NS']"
6.0,"['0.1807', '0.8430', 'NS']","['0.1807', '0.8430', 'NS']"
6.5,"['0.2949', '0.9591', 'NS']","['0.3660', '0.9591', 'NS']"
7.0,"['0.1375', '0.8430', 'NS']","['0.6282', '0.9591', 'NS']"
7.5,"['0.1014', '0.8430', 'NS']","['1.0000', '1.0000', 'NS']"
8.0,"['1.0000', '1.0000', 'NS']","['0.6282', '0.9591', 'NS']"
8.5,"['0.4452', '0.9591', 'NS']","['0.7308', '0.9591', 'NS']"
9.0,"['0.2949', '0.9591', 'NS']","['0.6282', '0.9591', 'NS']"
9.5,"['0.5338', '0.9591', 'NS']","['0.7308', '0.9591', 'NS']"
10.0,"['0.7308', '0.9591', 'NS']","['0.7308', '0.9591', 'NS']"
