Time,Glaz_+_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']"
1.5,"['1.0000', '1.0000', 'NS']"
2.0,"['1.0000', '1.0000', 'NS']"
2.5,"['1.0000', '1.0000', 'NS']"
3.0,"['0.3914', '0.5479', 'NS']"
3.5,"['0.0754', '0.1131', 'NS']"
4.0,"['0.0307', '0.0496', '*']"
4.5,"['0.0114', '0.0199', '*']"
5.0,"['0.0037', '0.0071', '**']"
5.5,"['0.0037', '0.0071', '**']"
6.0,"['0.0011', '0.0025', '**']"
6.5,"['0.0011', '0.0025', '**']"
7.0,"['0.0011', '0.0025', '**']"
7.5,"['0.0011', '0.0025', '**']"
8.0,"['0.0011', '0.0025', '**']"
8.5,"['0.0011', '0.0025', '**']"
9.0,"['0.0011', '0.0025', '**']"
9.5,"['0.0011', '0.0025', '**']"
10.0,"['0.0011', '0.0025', '**']"
