Time,Glaz_+_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']"
1.0,"['0.0754', '0.0834', 'NS']"
1.5,"['0.0114', '0.0133', '*']"
2.0,"['0.0011', '0.0024', '**']"
2.5,"['0.0011', '0.0024', '**']"
3.0,"['0.0011', '0.0024', '**']"
3.5,"['0.0011', '0.0024', '**']"
4.0,"['0.0011', '0.0024', '**']"
4.5,"['0.0011', '0.0024', '**']"
5.0,"['0.0011', '0.0024', '**']"
5.5,"['0.0011', '0.0024', '**']"
6.0,"['0.0014', '0.0024', '**']"
6.5,"['0.0014', '0.0024', '**']"
7.0,"['0.0014', '0.0024', '**']"
7.5,"['0.0019', '0.0024', '**']"
8.0,"['0.0017', '0.0024', '**']"
8.5,"['0.0017', '0.0024', '**']"
9.0,"['0.0017', '0.0024', '**']"
9.5,"['0.0019', '0.0024', '**']"
10.0,"['0.0019', '0.0024', '**']"
