Time,Glaz_+_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']"
1.0,"['0.0754', '0.0834', 'NS']"
1.5,"['0.0114', '0.0140', '*']"
2.0,"['0.0011', '0.0027', '**']"
2.5,"['0.0011', '0.0027', '**']"
3.0,"['0.0011', '0.0027', '**']"
3.5,"['0.0011', '0.0027', '**']"
4.0,"['0.0011', '0.0027', '**']"
4.5,"['0.0011', '0.0027', '**']"
5.0,"['0.0011', '0.0027', '**']"
5.5,"['0.0011', '0.0027', '**']"
6.0,"['0.0014', '0.0027', '**']"
6.5,"['0.0014', '0.0027', '**']"
7.0,"['0.0014', '0.0027', '**']"
7.5,"['0.0019', '0.0034', '**']"
8.0,"['0.0027', '0.0043', '**']"
8.5,"['0.0040', '0.0061', '**']"
9.0,"['0.0095', '0.0125', '*']"
9.5,"['0.0130', '0.0152', '*']"
10.0,"['0.0054', '0.0076', '**']"
