Time,Glaz_+_w7
0.0,"['1.0000', 'NS']"
0.5,"['0.0006', '***']"
1.0,"['0.0006', '***']"
1.5,"['0.0006', '***']"
2.0,"['0.0006', '***']"
2.5,"['0.0006', '***']"
3.0,"['0.0006', '***']"
3.5,"['0.0006', '***']"
4.0,"['0.0006', '***']"
4.5,"['0.0006', '***']"
5.0,"['0.0006', '***']"
5.5,"['0.0006', '***']"
6.0,"['0.0006', '***']"
6.5,"['0.0006', '***']"
7.0,"['0.0006', '***']"
7.5,"['0.0006', '***']"
8.0,"['0.0006', '***']"
8.5,"['0.0006', '***']"
9.0,"['0.0006', '***']"
9.5,"['0.0006', '***']"
10.0,"['0.0006', '***']"
