Time,Glaz_+_w7
0.0,"['0.0006', '0.0008', '***']"
0.5,"['0.0006', '0.0008', '***']"
1.0,"['0.0006', '0.0008', '***']"
1.5,"['0.0006', '0.0008', '***']"
2.0,"['0.0006', '0.0008', '***']"
2.5,"['0.0006', '0.0008', '***']"
3.0,"['0.0006', '0.0008', '***']"
3.5,"['0.0006', '0.0008', '***']"
4.0,"['0.0006', '0.0008', '***']"
4.5,"['0.0006', '0.0008', '***']"
5.0,"['0.0006', '0.0008', '***']"
5.5,"['0.0006', '0.0008', '***']"
6.0,"['0.0006', '0.0008', '***']"
6.5,"['0.0262', '0.0324', '*']"
7.0,"['0.0006', '0.0008', '***']"
7.5,"['0.0006', '0.0008', '***']"
8.0,"['0.0175', '0.0229', '*']"
8.5,"['0.0530', '0.0557', 'NS']"
9.0,"['0.0379', '0.0419', '*']"
9.5,"['0.0379', '0.0419', '*']"
10.0,"['0.2086', '0.2086', 'NS']"
