Time,Glaz_BL31081_w7,Glaz_V106955_w7
0.0,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
1.5,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
2.0,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
2.5,"['0.3914', '0.5137', 'NS']","['0.3105', '0.4347', 'NS']"
3.0,"['0.3914', '0.5137', 'NS']","['0.1046', '0.1690', 'NS']"
3.5,"['0.1730', '0.2594', 'NS']","['0.1046', '0.1690', 'NS']"
4.0,"['0.1730', '0.2594', 'NS']","['0.0330', '0.0747', 'NS']"
4.5,"['0.0307', '0.0747', 'NS']","['0.0091', '0.0404', '*']"
5.0,"['0.0114', '0.0404', '*']","['0.0091', '0.0404', '*']"
5.5,"['0.0114', '0.0404', '*']","['0.0091', '0.0404', '*']"
6.0,"['0.0338', '0.0747', 'NS']","['0.0186', '0.0600', 'NS']"
6.5,"['0.0236', '0.0660', 'NS']","['0.0093', '0.0404', '*']"
7.0,"['0.0236', '0.0660', 'NS']","['0.0055', '0.0404', '*']"
7.5,"['0.0838', '0.1467', 'NS']","['0.0316', '0.0747', 'NS']"
8.0,"['0.0407', '0.0814', 'NS']","['0.0071', '0.0404', '*']"
8.5,"['0.0561', '0.1071', 'NS']","['0.0115', '0.0404', '*']"
9.0,"['0.0407', '0.0814', 'NS']","['0.0071', '0.0404', '*']"
9.5,"['0.0626', '0.1143', 'NS']","['0.0049', '0.0404', '*']"
10.0,"['0.2194', '0.3178', 'NS']","['0.0049', '0.0404', '*']"
