Time,Glaz_BL31081_w7,Glaz_V106955_w7
0.0,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
0.5,"['0.0379', '0.0430', '*']","['0.0101', '0.0186', '*']"
1.0,"['0.0728', '0.0784', 'NS']","['0.0025', '0.0056', '**']"
1.5,"['0.0379', '0.0430', '*']","['0.0025', '0.0056', '**']"
2.0,"['0.0530', '0.0586', 'NS']","['0.0025', '0.0056', '**']"
2.5,"['0.0973', '0.1022', 'NS']","['0.0025', '0.0056', '**']"
3.0,"['0.0379', '0.0430', '*']","['0.0025', '0.0056', '**']"
3.5,"['0.0111', '0.0186', '*']","['0.0025', '0.0056', '**']"
4.0,"['0.0175', '0.0262', '*']","['0.0025', '0.0056', '**']"
4.5,"['0.0379', '0.0430', '*']","['0.0025', '0.0056', '**']"
5.0,"['0.0379', '0.0430', '*']","['0.0025', '0.0056', '**']"
5.5,"['0.0379', '0.0430', '*']","['0.0025', '0.0056', '**']"
6.0,"['0.0262', '0.0355', '*']","['0.0025', '0.0056', '**']"
6.5,"['0.0262', '0.0355', '*']","['0.0025', '0.0056', '**']"
7.0,"['0.0262', '0.0355', '*']","['0.0025', '0.0056', '**']"
7.5,"['0.0175', '0.0262', '*']","['0.0025', '0.0056', '**']"
8.0,"['0.0111', '0.0186', '*']","['0.0025', '0.0056', '**']"
8.5,"['0.0175', '0.0262', '*']","['0.0025', '0.0056', '**']"
9.0,"['0.0111', '0.0186', '*']","['0.0025', '0.0056', '**']"
9.5,"['0.0111', '0.0186', '*']","['0.0025', '0.0056', '**']"
10.0,"['0.0111', '0.0186', '*']","['0.0025', '0.0056', '**']"
