Time,Glaz_BL31081_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.1399', '0.1468', 'NS']"
1.0,"['0.0056', '0.0069', '**']"
1.5,"['0.0056', '0.0069', '**']"
2.0,"['0.0056', '0.0069', '**']"
2.5,"['0.0034', '0.0065', '**']"
3.0,"['0.0034', '0.0065', '**']"
3.5,"['0.0026', '0.0065', '**']"
4.0,"['0.0026', '0.0065', '**']"
4.5,"['0.0032', '0.0065', '**']"
5.0,"['0.0081', '0.0090', '**']"
5.5,"['0.0053', '0.0069', '**']"
6.0,"['0.0081', '0.0090', '**']"
6.5,"['0.0053', '0.0069', '**']"
7.0,"['0.0053', '0.0069', '**']"
7.5,"['0.0034', '0.0065', '**']"
8.0,"['0.0034', '0.0065', '**']"
8.5,"['0.0033', '0.0065', '**']"
9.0,"['0.0034', '0.0065', '**']"
9.5,"['0.0034', '0.0065', '**']"
10.0,"['0.0032', '0.0065', '**']"
