Time,Glaz_BL31081_w7
0.0,"['1.0000', 'NS']"
0.5,"['0.1399', 'NS']"
1.0,"['0.0056', '**']"
1.5,"['0.0056', '**']"
2.0,"['0.0056', '**']"
2.5,"['0.0034', '**']"
3.0,"['0.0034', '**']"
3.5,"['0.0026', '**']"
4.0,"['0.0026', '**']"
4.5,"['0.0032', '**']"
5.0,"['0.0081', '**']"
5.5,"['0.0053', '**']"
6.0,"['0.0266', '*']"
6.5,"['0.0535', 'NS']"
7.0,"['0.1741', 'NS']"
7.5,"['0.0737', 'NS']"
8.0,"['0.1331', 'NS']"
8.5,"['0.3524', 'NS']"
9.0,"['0.0266', '*']"
9.5,"['0.0183', '*']"
10.0,"['0.0178', '*']"
