Time,Glaz_BL31081_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.0012', '0.0014', '**']"
1.0,"['0.0023', '0.0024', '**']"
1.5,"['0.0012', '0.0014', '**']"
2.0,"['0.0012', '0.0014', '**']"
2.5,"['0.0012', '0.0014', '**']"
3.0,"['0.0012', '0.0014', '**']"
3.5,"['0.0012', '0.0014', '**']"
4.0,"['0.0012', '0.0014', '**']"
4.5,"['0.0012', '0.0014', '**']"
5.0,"['0.0012', '0.0014', '**']"
5.5,"['0.0012', '0.0014', '**']"
6.0,"['0.0012', '0.0014', '**']"
6.5,"['0.0012', '0.0014', '**']"
7.0,"['0.0012', '0.0014', '**']"
7.5,"['0.0012', '0.0014', '**']"
8.0,"['0.0023', '0.0024', '**']"
8.5,"['0.0023', '0.0024', '**']"
9.0,"['0.0012', '0.0014', '**']"
9.5,"['0.0012', '0.0014', '**']"
10.0,"['0.0012', '0.0014', '**']"
