Time,Glaz_BL31081_w7
0.0,"['0.0012', '**']"
0.5,"['0.0023', '**']"
1.0,"['0.0012', '**']"
1.5,"['0.0012', '**']"
2.0,"['0.0023', '**']"
2.5,"['0.0012', '**']"
3.0,"['0.0140', '*']"
3.5,"['0.0012', '**']"
4.0,"['0.0047', '**']"
4.5,"['0.0734', 'NS']"
5.0,"['0.0012', '**']"
5.5,"['0.0082', '**']"
6.0,"['0.2949', 'NS']"
6.5,"['0.3660', 'NS']"
7.0,"['0.6282', 'NS']"
7.5,"['0.9452', 'NS']"
8.0,"['0.5338', 'NS']"
8.5,"['0.1375', 'NS']"
9.0,"['0.2949', 'NS']"
9.5,"['0.1807', 'NS']"
10.0,"['0.4452', 'NS']"
