Time,Glaz_V106955_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.2230', '0.3345', 'NS']"
1.0,"['0.0169', '0.0331', '*']"
1.5,"['0.0169', '0.0331', '*']"
2.0,"['0.0055', '0.0209', '*']"
2.5,"['0.0067', '0.0209', '*']"
3.0,"['0.0075', '0.0209', '*']"
3.5,"['0.0075', '0.0209', '*']"
4.0,"['0.0080', '0.0209', '*']"
4.5,"['0.0043', '0.0209', '*']"
5.0,"['0.0043', '0.0209', '*']"
5.5,"['0.0043', '0.0209', '*']"
6.0,"['0.0303', '0.0530', 'NS']"
6.5,"['0.0173', '0.0331', '*']"
7.0,"['0.0823', '0.1329', 'NS']"
7.5,"['0.2468', '0.3455', 'NS']"
8.0,"['0.5368', '0.6263', 'NS']"
8.5,"['0.5368', '0.6263', 'NS']"
9.0,"['0.5368', '0.6263', 'NS']"
9.5,"['0.7922', '0.8318', 'NS']"
10.0,"['0.7922', '0.8318', 'NS']"
