Time,Glaz_V106955_w7
0.0,"['0.0043', '0.0101', '*']"
0.5,"['0.0043', '0.0101', '*']"
1.0,"['0.0043', '0.0101', '*']"
1.5,"['0.0043', '0.0101', '*']"
2.0,"['0.0043', '0.0101', '*']"
2.5,"['0.0043', '0.0101', '*']"
3.0,"['0.0087', '0.0182', '*']"
3.5,"['0.0043', '0.0101', '*']"
4.0,"['0.0043', '0.0101', '*']"
4.5,"['0.0043', '0.0101', '*']"
5.0,"['0.0823', '0.1234', 'NS']"
5.5,"['0.2468', '0.3048', 'NS']"
6.0,"['0.0173', '0.0303', '*']"
6.5,"['0.0519', '0.0839', 'NS']"
7.0,"['0.0173', '0.0303', '*']"
7.5,"['0.4286', '0.4737', 'NS']"
8.0,"['0.1775', '0.2330', 'NS']"
8.5,"['0.1255', '0.1758', 'NS']"
9.0,"['0.5368', '0.5636', 'NS']"
9.5,"['0.4286', '0.4737', 'NS']"
10.0,"['0.6623', '0.6623', 'NS']"
