Time,Glaz_BL31081_w3,Glaz_V106955_w3
0.0,"['1.0000', 'NS']","['1.0000', 'NS']"
0.5,"['0.7319', 'NS']","['0.1340', 'NS']"
1.0,"['0.4225', 'NS']","['0.1775', 'NS']"
1.5,"['0.4848', 'NS']","['0.4286', 'NS']"
2.0,"['0.5887', 'NS']","['0.4286', 'NS']"
2.5,"['0.4848', 'NS']","['1.0000', 'NS']"
3.0,"['0.5887', 'NS']","['1.0000', 'NS']"
3.5,"['0.5211', 'NS']","['0.9307', 'NS']"
4.0,"['0.3358', 'NS']","['1.0000', 'NS']"
4.5,"['0.3281', 'NS']","['0.5368', 'NS']"
5.0,"['0.9338', 'NS']","['0.8518', 'NS']"
5.5,"['0.6836', 'NS']","['0.9266', 'NS']"
6.0,"['0.9338', 'NS']","['0.7086', 'NS']"
6.5,"['0.9338', 'NS']","['0.9237', 'NS']"
7.0,"['0.4632', 'NS']","['0.5190', 'NS']"
7.5,"['0.8703', 'NS']","['0.6404', 'NS']"
8.0,"['0.9356', 'NS']","['0.3040', 'NS']"
8.5,"['0.9357', 'NS']","['0.3029', 'NS']"
9.0,"['0.3358', 'NS']","['0.1670', 'NS']"
9.5,"['0.3743', 'NS']","['0.4642', 'NS']"
10.0,"['0.2946', 'NS']","['0.5219', 'NS']"
