Time,Glaz_BL31081_w3,Glaz_V106955_w3
0.0,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
0.5,"['0.7319', '1.0000', 'NS']","['0.1340', '0.9380', 'NS']"
1.0,"['0.4225', '0.9474', 'NS']","['0.1775', '0.9474', 'NS']"
1.5,"['0.4848', '0.9697', 'NS']","['0.4286', '0.9474', 'NS']"
2.0,"['0.5887', '0.9891', 'NS']","['0.5368', '0.9891', 'NS']"
2.5,"['0.5887', '0.9891', 'NS']","['1.0000', '1.0000', 'NS']"
3.0,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
3.5,"['0.2403', '0.9474', 'NS']","['0.4286', '0.9474', 'NS']"
4.0,"['0.3939', '0.9474', 'NS']","['0.4286', '0.9474', 'NS']"
4.5,"['0.6991', '1.0000', 'NS']","['0.3290', '0.9474', 'NS']"
5.0,"['0.8182', '1.0000', 'NS']","['0.4286', '0.9474', 'NS']"
5.5,"['0.5887', '0.9891', 'NS']","['0.4286', '0.9474', 'NS']"
6.0,"['0.6991', '1.0000', 'NS']","['0.4286', '0.9474', 'NS']"
6.5,"['0.8182', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
7.0,"['0.8182', '1.0000', 'NS']","['0.9307', '1.0000', 'NS']"
7.5,"['0.8182', '1.0000', 'NS']","['0.2468', '0.9474', 'NS']"
8.0,"['0.8089', '1.0000', 'NS']","['0.0303', '0.4948', 'NS']"
8.5,"['0.9357', '1.0000', 'NS']","['0.0173', '0.4948', 'NS']"
9.0,"['0.9372', '1.0000', 'NS']","['0.0823', '0.6909', 'NS']"
9.5,"['0.4848', '0.9697', 'NS']","['0.0823', '0.6909', 'NS']"
10.0,"['0.4217', '0.9474', 'NS']","['0.0353', '0.4948', 'NS']"
