Time,Glaz_BL31081_w3,Glaz_V106955_w3
0.0,"['0.5887', 'NS']","['0.1775', 'NS']"
0.5,"['0.4848', 'NS']","['0.3290', 'NS']"
1.0,"['0.4848', 'NS']","['1.0000', 'NS']"
1.5,"['0.3095', 'NS']","['0.9307', 'NS']"
2.0,"['0.5887', 'NS']","['0.6623', 'NS']"
2.5,"['0.9372', 'NS']","['0.5368', 'NS']"
3.0,"['0.3939', 'NS']","['0.7922', 'NS']"
3.5,"['0.3095', 'NS']","['0.5368', 'NS']"
4.0,"['0.4848', 'NS']","['0.2468', 'NS']"
4.5,"['0.2403', 'NS']","['0.1775', 'NS']"
5.0,"['0.3095', 'NS']","['0.1255', 'NS']"
5.5,"['0.0931', 'NS']","['0.5368', 'NS']"
6.0,"['0.3095', 'NS']","['0.4286', 'NS']"
6.5,"['0.2403', 'NS']","['0.5368', 'NS']"
7.0,"['0.1797', 'NS']","['0.3290', 'NS']"
7.5,"['0.6991', 'NS']","['0.1775', 'NS']"
8.0,"['0.5887', 'NS']","['0.2468', 'NS']"
8.5,"['0.3939', 'NS']","['0.7922', 'NS']"
9.0,"['1.0000', 'NS']","['0.9307', 'NS']"
9.5,"['0.4848', 'NS']","['0.4286', 'NS']"
10.0,"['0.9372', 'NS']","['0.4286', 'NS']"
