Time,Glaz_+_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']"
1.5,"['1.0000', '1.0000', 'NS']"
2.0,"['1.0000', '1.0000', 'NS']"
2.5,"['0.3768', '0.4945', 'NS']"
3.0,"['0.1198', '0.1677', 'NS']"
3.5,"['0.0591', '0.1034', 'NS']"
4.0,"['0.0878', '0.1419', 'NS']"
4.5,"['0.0238', '0.0500', 'NS']"
5.0,"['0.0952', '0.1429', 'NS']"
5.5,"['0.0476', '0.0909', 'NS']"
6.0,"['0.0238', '0.0500', 'NS']"
6.5,"['0.0238', '0.0500', 'NS']"
7.0,"['0.0238', '0.0500', 'NS']"
7.5,"['0.0238', '0.0500', 'NS']"
8.0,"['0.0238', '0.0500', 'NS']"
8.5,"['0.0238', '0.0500', 'NS']"
9.0,"['0.0238', '0.0500', 'NS']"
9.5,"['0.0238', '0.0500', 'NS']"
10.0,"['0.0238', '0.0500', 'NS']"
