Time,Glaz_+_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.2170', '0.2399', 'NS']"
1.0,"['0.0878', '0.1025', 'NS']"
1.5,"['0.0878', '0.1025', 'NS']"
2.0,"['0.2619', '0.2750', 'NS']"
2.5,"['0.0238', '0.0482', '*']"
3.0,"['0.0238', '0.0482', '*']"
3.5,"['0.0238', '0.0482', '*']"
4.0,"['0.0238', '0.0482', '*']"
4.5,"['0.0238', '0.0482', '*']"
5.0,"['0.0489', '0.0680', 'NS']"
5.5,"['0.0518', '0.0680', 'NS']"
6.0,"['0.0256', '0.0482', '*']"
6.5,"['0.0256', '0.0482', '*']"
7.0,"['0.0275', '0.0482', '*']"
7.5,"['0.0518', '0.0680', 'NS']"
8.0,"['0.0518', '0.0680', 'NS']"
8.5,"['0.0275', '0.0482', '*']"
9.0,"['0.0238', '0.0482', '*']"
9.5,"['0.0238', '0.0482', '*']"
10.0,"['0.0238', '0.0482', '*']"
