Time,Glaz_+_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.2170', '0.2849', 'NS']"
1.0,"['0.0878', '0.1419', 'NS']"
1.5,"['0.0878', '0.1419', 'NS']"
2.0,"['0.2619', '0.3235', 'NS']"
2.5,"['0.0238', '0.0625', 'NS']"
3.0,"['0.0238', '0.0625', 'NS']"
3.5,"['0.0238', '0.0625', 'NS']"
4.0,"['0.1667', '0.2333', 'NS']"
4.5,"['0.3810', '0.4444', 'NS']"
5.0,"['0.5476', '0.5750', 'NS']"
5.5,"['0.5476', '0.5750', 'NS']"
6.0,"['0.0952', '0.1429', 'NS']"
6.5,"['0.0238', '0.0625', 'NS']"
7.0,"['0.0238', '0.0625', 'NS']"
7.5,"['0.0238', '0.0625', 'NS']"
8.0,"['0.0238', '0.0625', 'NS']"
8.5,"['0.0238', '0.0625', 'NS']"
9.0,"['0.0476', '0.0909', 'NS']"
9.5,"['0.0476', '0.0909', 'NS']"
10.0,"['0.0275', '0.0642', 'NS']"
