Time,Glaz_+_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.0952', '0.1000', 'NS']"
1.0,"['0.0238', '0.0263', '*']"
1.5,"['0.0238', '0.0263', '*']"
2.0,"['0.0238', '0.0263', '*']"
2.5,"['0.0238', '0.0263', '*']"
3.0,"['0.0238', '0.0263', '*']"
3.5,"['0.0238', '0.0263', '*']"
4.0,"['0.0238', '0.0263', '*']"
4.5,"['0.0238', '0.0263', '*']"
5.0,"['0.0238', '0.0263', '*']"
5.5,"['0.0238', '0.0263', '*']"
6.0,"['0.0238', '0.0263', '*']"
6.5,"['0.0238', '0.0263', '*']"
7.0,"['0.0238', '0.0263', '*']"
7.5,"['0.0238', '0.0263', '*']"
8.0,"['0.0238', '0.0263', '*']"
8.5,"['0.0238', '0.0263', '*']"
9.0,"['0.0238', '0.0263', '*']"
9.5,"['0.0238', '0.0263', '*']"
10.0,"['0.0238', '0.0263', '*']"
