Time,Glaz_+_w7
0.0,"['0.0952', '0.2000', 'NS']"
0.5,"['0.0238', '0.0625', 'NS']"
1.0,"['0.0238', '0.0625', 'NS']"
1.5,"['0.0238', '0.0625', 'NS']"
2.0,"['0.0238', '0.0625', 'NS']"
2.5,"['0.0238', '0.0625', 'NS']"
3.0,"['0.0238', '0.0625', 'NS']"
3.5,"['0.0476', '0.1111', 'NS']"
4.0,"['0.0238', '0.0625', 'NS']"
4.5,"['0.2619', '0.4583', 'NS']"
5.0,"['0.2619', '0.4583', 'NS']"
5.5,"['0.9048', '0.9048', 'NS']"
6.0,"['0.5476', '0.7188', 'NS']"
6.5,"['0.5476', '0.7188', 'NS']"
7.0,"['0.7143', '0.7500', 'NS']"
7.5,"['0.7143', '0.7500', 'NS']"
8.0,"['0.7143', '0.7500', 'NS']"
8.5,"['0.3810', '0.6154', 'NS']"
9.0,"['0.7143', '0.7500', 'NS']"
9.5,"['0.5476', '0.7188', 'NS']"
10.0,"['0.0238', '0.0625', 'NS']"
