Time,Glaz_BL31081_w7,Glaz_V106955_w7
0.0,"['1.0000', 'NS']","['1.0000', 'NS']"
0.5,"['1.0000', 'NS']","['1.0000', 'NS']"
1.0,"['1.0000', 'NS']","['1.0000', 'NS']"
1.5,"['1.0000', 'NS']","['1.0000', 'NS']"
2.0,"['1.0000', 'NS']","['1.0000', 'NS']"
2.5,"['1.0000', 'NS']","['1.0000', 'NS']"
3.0,"['1.0000', 'NS']","['1.0000', 'NS']"
3.5,"['1.0000', 'NS']","['1.0000', 'NS']"
4.0,"['0.8597', 'NS']","['0.6963', 'NS']"
4.5,"['0.6714', 'NS']","['0.4945', 'NS']"
5.0,"['0.4795', 'NS']","['0.1719', 'NS']"
5.5,"['0.3580', 'NS']","['0.2662', 'NS']"
6.0,"['0.4367', 'NS']","['0.2662', 'NS']"
6.5,"['0.4367', 'NS']","['0.2662', 'NS']"
7.0,"['0.9048', 'NS']","['0.1266', 'NS']"
7.5,"['0.5476', 'NS']","['0.0668', 'NS']"
8.0,"['0.5476', 'NS']","['0.2302', 'NS']"
8.5,"['0.7143', 'NS']","['0.1429', 'NS']"
9.0,"['0.7143', 'NS']","['0.1429', 'NS']"
9.5,"['0.7143', 'NS']","['0.2500', 'NS']"
10.0,"['1.0000', 'NS']","['0.1429', 'NS']"
