Time,Glaz_BL31081_w7,Glaz_V106955_w7
0.0,"['1.0000', '1.0000', 'NS']","['1.0000', '1.0000', 'NS']"
0.5,"['0.5476', '0.7419', 'NS']","['0.2500', '0.5789', 'NS']"
1.0,"['0.2619', '0.5789', 'NS']","['0.0714', '0.4000', 'NS']"
1.5,"['0.7143', '0.8333', 'NS']","['0.0714', '0.4000', 'NS']"
2.0,"['0.2619', '0.5789', 'NS']","['0.0714', '0.4000', 'NS']"
2.5,"['0.3810', '0.7419', 'NS']","['0.0714', '0.4000', 'NS']"
3.0,"['0.5476', '0.7419', 'NS']","['0.1429', '0.4000', 'NS']"
3.5,"['0.3810', '0.7419', 'NS']","['0.1429', '0.4000', 'NS']"
4.0,"['0.5476', '0.7419', 'NS']","['0.1429', '0.4000', 'NS']"
4.5,"['0.5476', '0.7419', 'NS']","['0.0714', '0.4000', 'NS']"
5.0,"['0.5476', '0.7419', 'NS']","['0.1429', '0.4000', 'NS']"
5.5,"['0.5476', '0.7419', 'NS']","['0.1429', '0.4000', 'NS']"
6.0,"['0.5476', '0.7419', 'NS']","['0.1429', '0.4000', 'NS']"
6.5,"['0.5476', '0.7419', 'NS']","['0.1429', '0.4000', 'NS']"
7.0,"['0.9048', '0.9500', 'NS']","['0.1429', '0.4000', 'NS']"
7.5,"['0.5476', '0.7419', 'NS']","['0.1429', '0.4000', 'NS']"
8.0,"['0.9048', '0.9500', 'NS']","['0.2500', '0.5789', 'NS']"
8.5,"['0.7143', '0.8333', 'NS']","['0.1429', '0.4000', 'NS']"
9.0,"['0.9048', '0.9500', 'NS']","['0.3929', '0.7419', 'NS']"
9.5,"['0.7143', '0.8333', 'NS']","['0.5714', '0.7500', 'NS']"
10.0,"['0.7143', '0.8333', 'NS']","['0.7857', '0.8919', 'NS']"
