Time,Glaz_BL31081_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']"
1.5,"['1.0000', '1.0000', 'NS']"
2.0,"['1.0000', '1.0000', 'NS']"
2.5,"['0.0284', '0.0373', '*']"
3.0,"['0.0284', '0.0373', '*']"
3.5,"['0.0096', '0.0202', '*']"
4.0,"['0.0167', '0.0270', '*']"
4.5,"['0.0250', '0.0373', '*']"
5.0,"['0.0115', '0.0220', '*']"
5.5,"['0.0129', '0.0226', '*']"
6.0,"['0.0087', '0.0202', '*']"
6.5,"['0.0022', '0.0076', '**']"
7.0,"['0.0043', '0.0114', '*']"
7.5,"['0.0022', '0.0076', '**']"
8.0,"['0.0022', '0.0076', '**']"
8.5,"['0.0022', '0.0076', '**']"
9.0,"['0.0022', '0.0076', '**']"
9.5,"['0.0022', '0.0076', '**']"
10.0,"['0.0043', '0.0114', '*']"
