Time,Glaz_BL31081_w7
0.0,"['1.0000', 'NS']"
0.5,"['0.0740', 'NS']"
1.0,"['0.0096', '**']"
1.5,"['0.0062', '**']"
2.0,"['0.0124', '*']"
2.5,"['0.0087', '**']"
3.0,"['0.0022', '**']"
3.5,"['0.0022', '**']"
4.0,"['0.0022', '**']"
4.5,"['0.0048', '**']"
5.0,"['0.0050', '**']"
5.5,"['0.0050', '**']"
6.0,"['0.0050', '**']"
6.5,"['0.0050', '**']"
7.0,"['0.0050', '**']"
7.5,"['0.0050', '**']"
8.0,"['0.0050', '**']"
8.5,"['0.0022', '**']"
9.0,"['0.0022', '**']"
9.5,"['0.0049', '**']"
10.0,"['0.0438', '*']"
