Time,Glaz_BL31081_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.0740', '0.0971', 'NS']"
1.0,"['0.0096', '0.0184', '*']"
1.5,"['0.0062', '0.0144', '*']"
2.0,"['0.0124', '0.0218', '*']"
2.5,"['0.0087', '0.0182', '*']"
3.0,"['0.0022', '0.0091', '**']"
3.5,"['0.0022', '0.0091', '**']"
4.0,"['0.0043', '0.0131', '*']"
4.5,"['0.8182', '0.8591', 'NS']"
5.0,"['0.3776', '0.4174', 'NS']"
5.5,"['0.1320', '0.1540', 'NS']"
6.0,"['0.0649', '0.0909', 'NS']"
6.5,"['0.0411', '0.0617', 'NS']"
7.0,"['0.0411', '0.0617', 'NS']"
7.5,"['0.1320', '0.1540', 'NS']"
8.0,"['0.0050', '0.0131', '*']"
8.5,"['0.0050', '0.0131', '*']"
9.0,"['0.0022', '0.0091', '**']"
9.5,"['0.0022', '0.0091', '**']"
10.0,"['0.0022', '0.0091', '**']"
