Time,Glaz_BL31081_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.0043', '0.0048', '**']"
1.0,"['0.0022', '0.0025', '**']"
1.5,"['0.0022', '0.0025', '**']"
2.0,"['0.0022', '0.0025', '**']"
2.5,"['0.0022', '0.0025', '**']"
3.0,"['0.0022', '0.0025', '**']"
3.5,"['0.0022', '0.0025', '**']"
4.0,"['0.0022', '0.0025', '**']"
4.5,"['0.0022', '0.0025', '**']"
5.0,"['0.0022', '0.0025', '**']"
5.5,"['0.0022', '0.0025', '**']"
6.0,"['0.0022', '0.0025', '**']"
6.5,"['0.0022', '0.0025', '**']"
7.0,"['0.0022', '0.0025', '**']"
7.5,"['0.0022', '0.0025', '**']"
8.0,"['0.0022', '0.0025', '**']"
8.5,"['0.0022', '0.0025', '**']"
9.0,"['0.0022', '0.0025', '**']"
9.5,"['0.0022', '0.0025', '**']"
10.0,"['0.0260', '0.0273', '*']"
