Time,Glaz_BL31081_w7
0.0,"['0.0043', '0.0091', '**']"
0.5,"['0.0022', '0.0057', '**']"
1.0,"['0.0022', '0.0057', '**']"
1.5,"['0.0022', '0.0057', '**']"
2.0,"['0.0022', '0.0057', '**']"
2.5,"['0.0022', '0.0057', '**']"
3.0,"['0.0022', '0.0057', '**']"
3.5,"['0.0022', '0.0057', '**']"
4.0,"['0.0022', '0.0057', '**']"
4.5,"['1.0000', '1.0000', 'NS']"
5.0,"['1.0000', '1.0000', 'NS']"
5.5,"['0.3095', '0.3611', 'NS']"
6.0,"['0.1320', '0.1981', 'NS']"
6.5,"['0.0411', '0.0785', 'NS']"
7.0,"['0.2403', '0.2968', 'NS']"
7.5,"['0.4848', '0.5359', 'NS']"
8.0,"['0.1320', '0.1981', 'NS']"
8.5,"['0.1797', '0.2515', 'NS']"
9.0,"['0.2403', '0.2968', 'NS']"
9.5,"['0.0649', '0.1136', 'NS']"
10.0,"['0.0043', '0.0091', '**']"
