Time,Glaz_V106955_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']"
1.5,"['0.4237', '0.4943', 'NS']"
2.0,"['0.0720', '0.0889', 'NS']"
2.5,"['0.0254', '0.0333', '*']"
3.0,"['0.0254', '0.0333', '*']"
3.5,"['0.0075', '0.0179', '*']"
4.0,"['0.0097', '0.0179', '*']"
4.5,"['0.0097', '0.0179', '*']"
5.0,"['0.0097', '0.0179', '*']"
5.5,"['0.0112', '0.0179', '*']"
6.0,"['0.0112', '0.0179', '*']"
6.5,"['0.0112', '0.0179', '*']"
7.0,"['0.0112', '0.0179', '*']"
7.5,"['0.0112', '0.0179', '*']"
8.0,"['0.0119', '0.0179', '*']"
8.5,"['0.0079', '0.0179', '*']"
9.0,"['0.0079', '0.0179', '*']"
9.5,"['0.0079', '0.0179', '*']"
10.0,"['0.0079', '0.0179', '*']"
