Time,Glaz_V106955_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.0254', '0.0266', '*']"
1.0,"['0.0097', '0.0132', '*']"
1.5,"['0.0097', '0.0132', '*']"
2.0,"['0.0112', '0.0132', '*']"
2.5,"['0.0112', '0.0132', '*']"
3.0,"['0.0119', '0.0132', '*']"
3.5,"['0.0119', '0.0132', '*']"
4.0,"['0.0079', '0.0132', '*']"
4.5,"['0.0079', '0.0132', '*']"
5.0,"['0.0079', '0.0132', '*']"
5.5,"['0.0079', '0.0132', '*']"
6.0,"['0.0079', '0.0132', '*']"
6.5,"['0.0119', '0.0132', '*']"
7.0,"['0.0079', '0.0132', '*']"
7.5,"['0.0119', '0.0132', '*']"
8.0,"['0.0119', '0.0132', '*']"
8.5,"['0.0117', '0.0132', '*']"
9.0,"['0.0119', '0.0132', '*']"
9.5,"['0.0079', '0.0132', '*']"
10.0,"['0.0119', '0.0132', '*']"
