Time,Glaz_V106955_w7
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.0254', '0.0533', 'NS']"
1.0,"['0.0097', '0.0358', '*']"
1.5,"['0.0097', '0.0358', '*']"
2.0,"['0.0112', '0.0358', '*']"
2.5,"['0.0112', '0.0358', '*']"
3.0,"['0.0119', '0.0358', '*']"
3.5,"['0.0119', '0.0358', '*']"
4.0,"['0.0079', '0.0358', '*']"
4.5,"['0.0159', '0.0370', '*']"
5.0,"['0.4206', '0.4907', 'NS']"
5.5,"['0.6905', '0.7250', 'NS']"
6.0,"['0.3095', '0.3824', 'NS']"
6.5,"['0.5476', '0.6053', 'NS']"
7.0,"['0.0317', '0.0606', 'NS']"
7.5,"['0.0556', '0.0972', 'NS']"
8.0,"['0.0159', '0.0370', '*']"
8.5,"['0.1508', '0.1979', 'NS']"
9.0,"['0.1508', '0.1979', 'NS']"
9.5,"['0.0952', '0.1538', 'NS']"
10.0,"['0.1508', '0.1979', 'NS']"
