Time,Glaz_V106955_w7
0.0,"['1.0000', 'NS']"
0.5,"['0.0079', '**']"
1.0,"['0.0079', '**']"
1.5,"['0.0079', '**']"
2.0,"['0.0079', '**']"
2.5,"['0.0079', '**']"
3.0,"['0.0079', '**']"
3.5,"['0.0079', '**']"
4.0,"['0.0079', '**']"
4.5,"['0.0079', '**']"
5.0,"['0.0079', '**']"
5.5,"['0.0079', '**']"
6.0,"['0.0079', '**']"
6.5,"['0.0079', '**']"
7.0,"['0.0079', '**']"
7.5,"['0.0079', '**']"
8.0,"['0.0079', '**']"
8.5,"['0.0079', '**']"
9.0,"['0.0079', '**']"
9.5,"['0.0079', '**']"
10.0,"['0.0159', '*']"
