Time,Glaz_V106955_w7
0.0,"['0.0079', '**']"
0.5,"['0.0079', '**']"
1.0,"['0.0079', '**']"
1.5,"['0.0079', '**']"
2.0,"['0.0079', '**']"
2.5,"['0.0079', '**']"
3.0,"['0.0159', '*']"
3.5,"['0.0556', 'NS']"
4.0,"['0.0079', '**']"
4.5,"['0.2222', 'NS']"
5.0,"['0.8413', 'NS']"
5.5,"['0.4206', 'NS']"
6.0,"['0.8413', 'NS']"
6.5,"['0.6905', 'NS']"
7.0,"['0.3095', 'NS']"
7.5,"['0.0556', 'NS']"
8.0,"['0.0079', '**']"
8.5,"['0.0079', '**']"
9.0,"['0.0317', '*']"
9.5,"['0.1508', 'NS']"
10.0,"['0.1508', 'NS']"
