Time,CLK_Out_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.3633', '0.6030', 'NS']"
1.0,"['0.1048', '0.5200', 'NS']"
1.5,"['0.4110', '0.6030', 'NS']"
2.0,"['0.3246', '0.6030', 'NS']"
2.5,"['0.7427', '0.8208', 'NS']"
3.0,"['0.3933', '0.6030', 'NS']"
3.5,"['0.4307', '0.6030', 'NS']"
4.0,"['0.1891', '0.5672', 'NS']"
4.5,"['0.0567', '0.3971', 'NS']"
5.0,"['0.1486', '0.5200', 'NS']"
5.5,"['0.6458', '0.7534', 'NS']"
6.0,"['1.0000', '1.0000', 'NS']"
6.5,"['0.3579', '0.6030', 'NS']"
7.0,"['0.5114', '0.6712', 'NS']"
7.5,"['0.2643', '0.6030', 'NS']"
8.0,"['0.3932', '0.6030', 'NS']"
8.5,"['0.5544', '0.6849', 'NS']"
9.0,"['0.1310', '0.5200', 'NS']"
9.5,"['0.0488', '0.3971', 'NS']"
10.0,"['0.0356', '0.3971', 'NS']"
