Time,CLK_Out_w3
0.0,"['1.0000', 'NS']"
0.5,"['0.6458', 'NS']"
1.0,"['0.5545', 'NS']"
1.5,"['0.6458', 'NS']"
2.0,"['0.5114', 'NS']"
2.5,"['0.4701', 'NS']"
3.0,"['0.3933', 'NS']"
3.5,"['0.4701', 'NS']"
4.0,"['0.3933', 'NS']"
4.5,"['0.3933', 'NS']"
5.0,"['0.2934', 'NS']"
5.5,"['0.3246', 'NS']"
6.0,"['0.2643', 'NS']"
6.5,"['0.1891', 'NS']"
7.0,"['0.5114', 'NS']"
7.5,"['0.2934', 'NS']"
8.0,"['0.3246', 'NS']"
8.5,"['0.7427', 'NS']"
9.0,"['0.6936', 'NS']"
9.5,"['0.2643', 'NS']"
10.0,"['0.2934', 'NS']"
