Time,CLK_Out_w3
0.0,"['0.6458', 'NS']"
0.5,"['0.5545', 'NS']"
1.0,"['0.7427', 'NS']"
1.5,"['0.2372', 'NS']"
2.0,"['0.2122', 'NS']"
2.5,"['0.1891', 'NS']"
3.0,"['0.1891', 'NS']"
3.5,"['0.3933', 'NS']"
4.0,"['0.5114', 'NS']"
4.5,"['0.3579', 'NS']"
5.0,"['0.1310', 'NS']"
5.5,"['0.2643', 'NS']"
6.0,"['0.2643', 'NS']"
6.5,"['0.8955', 'NS']"
7.0,"['0.8438', 'NS']"
7.5,"['0.7928', 'NS']"
8.0,"['0.1891', 'NS']"
8.5,"['0.9476', 'NS']"
9.0,"['0.1486', 'NS']"
9.5,"['0.5545', 'NS']"
10.0,"['0.7427', 'NS']"
