Time,CLK_Out_w1
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.1918', '0.2877', 'NS']"
1.0,"['0.2286', '0.3200', 'NS']"
1.5,"['0.1245', '0.2012', 'NS']"
2.0,"['0.1178', '0.2012', 'NS']"
2.5,"['0.0426', '0.1490', 'NS']"
3.0,"['0.0559', '0.1673', 'NS']"
3.5,"['0.1178', '0.2012', 'NS']"
4.0,"['0.0929', '0.1951', 'NS']"
4.5,"['0.6851', '0.7572', 'NS']"
5.0,"['0.5623', '0.6947', 'NS']"
5.5,"['0.2710', '0.3557', 'NS']"
6.0,"['0.0929', '0.1951', 'NS']"
6.5,"['0.0175', '0.0920', 'NS']"
7.0,"['0.0239', '0.1002', 'NS']"
7.5,"['0.0045', '0.0475', '*']"
8.0,"['0.0038', '0.0475', '*']"
8.5,"['0.0108', '0.0755', 'NS']"
9.0,"['0.0637', '0.1673', 'NS']"
9.5,"['0.6430', '0.7502', 'NS']"
10.0,"['0.7720', '0.8106', 'NS']"
