Time,CLK_Out_w1
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.1475', '0.1918', 'NS']"
1.0,"['0.0929', '0.1774', 'NS']"
1.5,"['0.2024', '0.2126', 'NS']"
2.0,"['0.1644', '0.1918', 'NS']"
2.5,"['0.1475', '0.1918', 'NS']"
3.0,"['0.1048', '0.1833', 'NS']"
3.5,"['0.0822', '0.1726', 'NS']"
4.0,"['0.0637', '0.1726', 'NS']"
4.5,"['0.0822', '0.1726', 'NS']"
5.0,"['0.1644', '0.1918', 'NS']"
5.5,"['0.1827', '0.2019', 'NS']"
6.0,"['0.0822', '0.1726', 'NS']"
6.5,"['0.0426', '0.1726', 'NS']"
7.0,"['0.0559', '0.1726', 'NS']"
7.5,"['0.1320', '0.1918', 'NS']"
8.0,"['0.0239', '0.1726', 'NS']"
8.5,"['0.0426', '0.1726', 'NS']"
9.0,"['0.0277', '0.1726', 'NS']"
9.5,"['0.0559', '0.1726', 'NS']"
10.0,"['0.1475', '0.1918', 'NS']"
