Time,CLK_Out_w1
0.0,"['0.1475', '0.4425', 'NS']"
0.5,"['0.0929', '0.4425', 'NS']"
1.0,"['0.2237', '0.4698', 'NS']"
1.5,"['0.5239', '0.6472', 'NS']"
2.0,"['0.2237', '0.4698', 'NS']"
2.5,"['0.1475', '0.4425', 'NS']"
3.0,"['0.1320', '0.4425', 'NS']"
3.5,"['0.0426', '0.4425', 'NS']"
4.0,"['0.0725', '0.4425', 'NS']"
4.5,"['0.4173', '0.6260', 'NS']"
5.0,"['0.1827', '0.4698', 'NS']"
5.5,"['0.3539', '0.5717', 'NS']"
6.0,"['0.0822', '0.4425', 'NS']"
6.5,"['0.4513', '0.6319', 'NS']"
7.0,"['1.0000', '1.0000', 'NS']"
7.5,"['0.9078', '0.9531', 'NS']"
8.0,"['0.2466', '0.4707', 'NS']"
8.5,"['0.2710', '0.4742', 'NS']"
9.0,"['0.8167', '0.9027', 'NS']"
9.5,"['0.7721', '0.9007', 'NS']"
10.0,"['0.5239', '0.6472', 'NS']"
