Time,W1118_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.8194', '0.8604', 'NS']"
1.0,"['0.4904', '0.5420', 'NS']"
1.5,"['0.2147', '0.2505', 'NS']"
2.0,"['0.0673', '0.1178', 'NS']"
2.5,"['0.0771', '0.1246', 'NS']"
3.0,"['0.0586', '0.1178', 'NS']"
3.5,"['0.0058', '0.0704', 'NS']"
4.0,"['0.0101', '0.0704', 'NS']"
4.5,"['0.0070', '0.0704', 'NS']"
5.0,"['0.0236', '0.0826', 'NS']"
5.5,"['0.0627', '0.1178', 'NS']"
6.0,"['0.0143', '0.0751', 'NS']"
6.5,"['0.0377', '0.1132', 'NS']"
7.0,"['0.1448', '0.1901', 'NS']"
7.5,"['0.1003', '0.1404', 'NS']"
8.0,"['0.1627', '0.2010', 'NS']"
8.5,"['0.0880', '0.1320', 'NS']"
9.0,"['0.0505', '0.1178', 'NS']"
9.5,"['0.0437', '0.1148', 'NS']"
10.0,"['0.0234', '0.0826', 'NS']"
