Time,W1118_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.8194', '0.8604', 'NS']"
1.0,"['0.4904', '0.6057', 'NS']"
1.5,"['0.2147', '0.3469', 'NS']"
2.0,"['0.0673', '0.1473', 'NS']"
2.5,"['0.0771', '0.1473', 'NS']"
3.0,"['0.0438', '0.1473', 'NS']"
3.5,"['0.0143', '0.1001', 'NS']"
4.0,"['0.0438', '0.1473', 'NS']"
4.5,"['0.3364', '0.5046', 'NS']"
5.0,"['0.4382', '0.5752', 'NS']"
5.5,"['0.5558', '0.6484', 'NS']"
6.0,"['0.7802', '0.8604', 'NS']"
6.5,"['0.0673', '0.1473', 'NS']"
7.0,"['0.0101', '0.1001', 'NS']"
7.5,"['0.0101', '0.1001', 'NS']"
8.0,"['0.0377', '0.1473', 'NS']"
8.5,"['0.0771', '0.1473', 'NS']"
9.0,"['0.1003', '0.1755', 'NS']"
9.5,"['0.4025', '0.5634', 'NS']"
10.0,"['0.0770', '0.1473', 'NS']"
