Time,W1118_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.0324', '0.0618', 'NS']"
1.0,"['0.0236', '0.0582', 'NS']"
1.5,"['0.1629', '0.1710', 'NS']"
2.0,"['0.0084', '0.0582', 'NS']"
2.5,"['0.0084', '0.0582', 'NS']"
3.0,"['0.0277', '0.0582', 'NS']"
3.5,"['0.0236', '0.0582', 'NS']"
4.0,"['0.0143', '0.0582', 'NS']"
4.5,"['0.0508', '0.0761', 'NS']"
5.0,"['0.0586', '0.0785', 'NS']"
5.5,"['0.0673', '0.0785', 'NS']"
6.0,"['0.0236', '0.0582', 'NS']"
6.5,"['0.0143', '0.0582', 'NS']"
7.0,"['0.0673', '0.0785', 'NS']"
7.5,"['0.0881', '0.0974', 'NS']"
8.0,"['0.0236', '0.0582', 'NS']"
8.5,"['0.0277', '0.0582', 'NS']"
9.0,"['0.0438', '0.0761', 'NS']"
9.5,"['0.0508', '0.0761', 'NS']"
10.0,"['0.0673', '0.0785', 'NS']"
