Time,W1118_w3
0.0,"['0.0324', '0.1700', 'NS']"
0.5,"['0.0236', '0.1652', 'NS']"
1.0,"['0.2778', '0.5303', 'NS']"
1.5,"['0.0021', '0.0225', '*']"
2.0,"['0.0011', '0.0225', '*']"
2.5,"['0.1287', '0.4503', 'NS']"
3.0,"['0.0438', '0.1842', 'NS']"
3.5,"['0.2265', '0.5276', 'NS']"
4.0,"['0.3364', '0.5434', 'NS']"
4.5,"['0.5981', '0.8373', 'NS']"
5.0,"['0.9259', '0.9259', 'NS']"
5.5,"['0.3364', '0.5434', 'NS']"
6.0,"['0.2265', '0.5276', 'NS']"
6.5,"['0.7802', '0.8623', 'NS']"
7.0,"['0.7802', '0.8623', 'NS']"
7.5,"['0.5149', '0.7724', 'NS']"
8.0,"['0.6869', '0.8623', 'NS']"
8.5,"['0.2512', '0.5276', 'NS']"
9.0,"['0.7330', '0.8623', 'NS']"
9.5,"['0.8282', '0.8696', 'NS']"
10.0,"['0.2036', '0.5276', 'NS']"
