Time,W1118_w3,CLK_Out_w1,CLK_Out_w3
0.0,"['1.0000', 'NS']","['1.0000', 'NS']","['1.0000', 'NS']"
0.5,"['1.0000', 'NS']","['1.0000', 'NS']","['1.0000', 'NS']"
1.0,"['1.0000', 'NS']","['1.0000', 'NS']","['1.0000', 'NS']"
1.5,"['1.0000', 'NS']","['1.0000', 'NS']","['1.0000', 'NS']"
2.0,"['0.2926', 'NS']","['1.0000', 'NS']","['1.0000', 'NS']"
2.5,"['0.3724', 'NS']","['0.4218', 'NS']","['0.1066', 'NS']"
3.0,"['0.3993', 'NS']","['0.4694', 'NS']","['0.4694', 'NS']"
3.5,"['0.4153', 'NS']","['0.7692', 'NS']","['0.0589', 'NS']"
4.0,"['0.1446', 'NS']","['0.5820', 'NS']","['0.0416', '*']"
4.5,"['0.1003', 'NS']","['0.1320', 'NS']","['0.1178', 'NS']"
5.0,"['0.1003', 'NS']","['0.0725', 'NS']","['0.0425', '*']"
5.5,"['0.1629', 'NS']","['0.1475', 'NS']","['0.0370', '*']"
6.0,"['0.1287', 'NS']","['0.0637', 'NS']","['0.0175', '*']"
6.5,"['0.0277', '*']","['0.0370', '*']","['0.0045', '**']"
7.0,"['0.0170', '*']","['0.0321', '*']","['0.0018', '**']"
7.5,"['0.0277', '*']","['0.0321', '*']","['0.0014', '**']"
8.0,"['0.0236', '*']","['0.0054', '**']","['0.0012', '**']"
8.5,"['0.0407', '*']","['0.0108', '*']","['0.0045', '**']"
9.0,"['0.0438', '*']","['0.0277', '*']","['0.0038', '**']"
9.5,"['0.0377', '*']","['0.0559', 'NS']","['0.0031', '**']"
10.0,"['0.0236', '*']","['0.2969', 'NS']","['0.0038', '**']"
