Time,W1118_w3,CLK_Out_w1,CLK_Out_w3
0.0,"['1.0000', 'NS']","['1.0000', 'NS']","['1.0000', 'NS']"
0.5,"['0.8194', 'NS']","['0.1918', 'NS']","['0.0551', 'NS']"
1.0,"['0.4904', 'NS']","['0.2286', 'NS']","['0.0048', '**']"
1.5,"['0.2147', 'NS']","['0.1245', 'NS']","['0.0487', '*']"
2.0,"['0.0673', 'NS']","['0.1178', 'NS']","['0.0239', '*']"
2.5,"['0.0771', 'NS']","['0.0489', '*']","['0.0150', '*']"
3.0,"['0.0586', 'NS']","['0.0321', '*']","['0.0321', '*']"
3.5,"['0.0058', '**']","['0.0679', 'NS']","['0.0091', '**']"
4.0,"['0.0101', '*']","['0.0637', 'NS']","['0.0045', '**']"
4.5,"['0.0070', '**']","['0.0489', '*']","['0.0077', '**']"
5.0,"['0.0236', '*']","['0.0986', 'NS']","['0.0065', '**']"
5.5,"['0.0627', 'NS']","['0.1320', 'NS']","['0.0175', '*']"
6.0,"['0.0143', '*']","['0.1394', 'NS']","['0.0077', '**']"
6.5,"['0.0377', '*']","['0.3105', 'NS']","['0.0298', '*']"
7.0,"['0.1448', 'NS']","['0.9538', 'NS']","['0.0637', 'NS']"
7.5,"['0.1003', 'NS']","['0.7942', 'NS']","['0.0929', 'NS']"
8.0,"['0.1627', 'NS']","['0.5820', 'NS']","['0.0986', 'NS']"
8.5,"['0.0880', 'NS']","['0.3690', 'NS']","['0.0679', 'NS']"
9.0,"['0.0505', 'NS']","['0.1471', 'NS']","['0.0091', '**']"
9.5,"['0.0437', '*']","['0.1728', 'NS']","['0.0064', '**']"
10.0,"['0.0234', '*']","['0.2122', 'NS']","['0.0127', '*']"
