Time,W1118_w3,CLK_Out_w1,CLK_Out_w3
0.0,"['1.0000', 'NS']","['1.0000', 'NS']","['1.0000', 'NS']"
0.5,"['0.8194', 'NS']","['0.1918', 'NS']","['0.0551', 'NS']"
1.0,"['0.4904', 'NS']","['0.2286', 'NS']","['0.0048', '**']"
1.5,"['0.2147', 'NS']","['0.1245', 'NS']","['0.0487', '*']"
2.0,"['0.0673', 'NS']","['0.1178', 'NS']","['0.0239', '*']"
2.5,"['0.0771', 'NS']","['0.0426', '*']","['0.0175', '*']"
3.0,"['0.0438', '*']","['0.0559', 'NS']","['0.0239', '*']"
3.5,"['0.0143', '*']","['0.1178', 'NS']","['0.0175', '*']"
4.0,"['0.0438', '*']","['0.0929', 'NS']","['0.0239', '*']"
4.5,"['0.3364', 'NS']","['0.6851', 'NS']","['0.1178', 'NS']"
5.0,"['0.4382', 'NS']","['0.5623', 'NS']","['0.6430', 'NS']"
5.5,"['0.5558', 'NS']","['0.2710', 'NS']","['0.4869', 'NS']"
6.0,"['0.7802', 'NS']","['0.0929', 'NS']","['0.1048', 'NS']"
6.5,"['0.0673', 'NS']","['0.0175', '*']","['0.0077', '**']"
7.0,"['0.0101', '*']","['0.0239', '*']","['0.0021', '**']"
7.5,"['0.0101', '*']","['0.0045', '**']","['0.0002', '***']"
8.0,"['0.0377', '*']","['0.0038', '**']","['0.0006', '***']"
8.5,"['0.0771', 'NS']","['0.0108', '*']","['0.0031', '**']"
9.0,"['0.1003', 'NS']","['0.0637', 'NS']","['0.0127', '*']"
9.5,"['0.4025', 'NS']","['0.6430', 'NS']","['0.0637', 'NS']"
10.0,"['0.0770', 'NS']","['0.7720', 'NS']","['0.0205', '*']"
