Time,W1118_w3,CLK_Out_w1,CLK_Out_w3
0.0,"['1.0000', 'NS']","['1.0000', 'NS']","['1.0000', 'NS']"
0.5,"['0.0324', '*']","['0.1475', 'NS']","['0.0822', 'NS']"
1.0,"['0.0236', '*']","['0.0929', 'NS']","['0.1644', 'NS']"
1.5,"['0.1629', 'NS']","['0.2024', 'NS']","['0.1320', 'NS']"
2.0,"['0.0084', '**']","['0.1644', 'NS']","['0.0929', 'NS']"
2.5,"['0.0084', '**']","['0.1475', 'NS']","['0.0822', 'NS']"
3.0,"['0.0277', '*']","['0.1048', 'NS']","['0.0426', '*']"
3.5,"['0.0236', '*']","['0.0822', 'NS']","['0.0559', 'NS']"
4.0,"['0.0143', '*']","['0.0637', 'NS']","['0.0277', '*']"
4.5,"['0.0508', 'NS']","['0.0822', 'NS']","['0.0370', '*']"
5.0,"['0.0586', 'NS']","['0.1644', 'NS']","['0.0277', '*']"
5.5,"['0.0673', 'NS']","['0.1827', 'NS']","['0.0559', 'NS']"
6.0,"['0.0236', '*']","['0.0822', 'NS']","['0.0150', '*']"
6.5,"['0.0143', '*']","['0.0426', '*']","['0.0054', '**']"
7.0,"['0.0673', 'NS']","['0.0559', 'NS']","['0.0091', '**']"
7.5,"['0.0881', 'NS']","['0.1320', 'NS']","['0.0175', '*']"
8.0,"['0.0236', '*']","['0.0239', '*']","['0.0054', '**']"
8.5,"['0.0277', '*']","['0.0426', '*']","['0.0150', '*']"
9.0,"['0.0438', '*']","['0.0277', '*']","['0.0054', '**']"
9.5,"['0.0508', 'NS']","['0.0559', 'NS']","['0.0031', '**']"
10.0,"['0.0673', 'NS']","['0.1475', 'NS']","['0.0065', '**']"
