Time,W1118_w3,CLK_Out_w1,CLK_Out_w3
0.0,"['0.0324', '*']","['0.1475', 'NS']","['0.0822', 'NS']"
0.5,"['0.0236', '*']","['0.0929', 'NS']","['0.1644', 'NS']"
1.0,"['0.2778', 'NS']","['0.2237', 'NS']","['0.1320', 'NS']"
1.5,"['0.0021', '**']","['0.5239', 'NS']","['0.0559', 'NS']"
2.0,"['0.0011', '**']","['0.2237', 'NS']","['0.0426', '*']"
2.5,"['0.1287', 'NS']","['0.1475', 'NS']","['0.0175', '*']"
3.0,"['0.0438', '*']","['0.1320', 'NS']","['0.0239', '*']"
3.5,"['0.2265', 'NS']","['0.0426', '*']","['0.0127', '*']"
4.0,"['0.3364', 'NS']","['0.0725', 'NS']","['0.0426', '*']"
4.5,"['0.5981', 'NS']","['0.4173', 'NS']","['0.4513', 'NS']"
5.0,"['0.9259', 'NS']","['0.1827', 'NS']","['0.9538', 'NS']"
5.5,"['0.3364', 'NS']","['0.3539', 'NS']","['0.2237', 'NS']"
6.0,"['0.2265', 'NS']","['0.0822', 'NS']","['0.0822', 'NS']"
6.5,"['0.7802', 'NS']","['0.4513', 'NS']","['0.5239', 'NS']"
7.0,"['0.7802', 'NS']","['1.0000', 'NS']","['0.9078', 'NS']"
7.5,"['0.5149', 'NS']","['0.9078', 'NS']","['0.7281', 'NS']"
8.0,"['0.6869', 'NS']","['0.2466', 'NS']","['0.7281', 'NS']"
8.5,"['0.2512', 'NS']","['0.2710', 'NS']","['0.2024', 'NS']"
9.0,"['0.7330', 'NS']","['0.8167', 'NS']","['0.1048', 'NS']"
9.5,"['0.8282', 'NS']","['0.7721', 'NS']","['0.3247', 'NS']"
10.0,"['0.2036', 'NS']","['0.5239', 'NS']","['0.1048', 'NS']"
