Time,CLK_Out_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.0643', '0.6748', 'NS']"
1.0,"['0.0285', '0.5986', 'NS']"
1.5,"['0.2297', '1.0000', 'NS']"
2.0,"['0.3979', '1.0000', 'NS']"
2.5,"['0.5495', '1.0000', 'NS']"
3.0,"['0.6985', '1.0000', 'NS']"
3.5,"['0.9719', '1.0000', 'NS']"
4.0,"['0.5495', '1.0000', 'NS']"
4.5,"['0.5495', '1.0000', 'NS']"
5.0,"['0.2907', '1.0000', 'NS']"
5.5,"['1.0000', '1.0000', 'NS']"
6.0,"['0.7781', '1.0000', 'NS']"
6.5,"['1.0000', '1.0000', 'NS']"
7.0,"['0.9719', '1.0000', 'NS']"
7.5,"['1.0000', '1.0000', 'NS']"
8.0,"['0.6985', '1.0000', 'NS']"
8.5,"['0.9438', '1.0000', 'NS']"
9.0,"['0.5495', '1.0000', 'NS']"
9.5,"['0.5974', '1.0000', 'NS']"
10.0,"['0.6982', '1.0000', 'NS']"
