Time,CLK_Out_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']"
1.5,"['1.0000', '1.0000', 'NS']"
2.0,"['1.0000', '1.0000', 'NS']"
2.5,"['0.1893', '0.3976', 'NS']"
3.0,"['1.0000', '1.0000', 'NS']"
3.5,"['0.5034', '0.7551', 'NS']"
4.0,"['1.0000', '1.0000', 'NS']"
4.5,"['0.4597', '0.7425', 'NS']"
5.0,"['0.1131', '0.2969', 'NS']"
5.5,"['0.0620', '0.2171', 'NS']"
6.0,"['0.0265', '0.2171', 'NS']"
6.5,"['0.0528', '0.2171', 'NS']"
7.0,"['0.0378', '0.2171', 'NS']"
7.5,"['0.0620', '0.2171', 'NS']"
8.0,"['0.3787', '0.6628', 'NS']"
8.5,"['0.2453', '0.4683', 'NS']"
9.0,"['0.1489', '0.3473', 'NS']"
9.5,"['0.0782', '0.2347', 'NS']"
10.0,"['0.0528', '0.2171', 'NS']"
