Time,CLK_Out_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.1888', '0.4853', 'NS']"
1.0,"['0.6443', '0.7960', 'NS']"
1.5,"['0.4181', '0.5487', 'NS']"
2.0,"['0.7513', '0.8304', 'NS']"
2.5,"['0.2751', '0.5232', 'NS']"
3.0,"['0.3598', '0.5397', 'NS']"
3.5,"['0.1927', '0.4853', 'NS']"
4.0,"['0.3072', '0.5232', 'NS']"
4.5,"['0.1489', '0.4853', 'NS']"
5.0,"['0.2311', '0.4853', 'NS']"
5.5,"['0.2178', '0.4853', 'NS']"
6.0,"['0.0844', '0.4853', 'NS']"
6.5,"['0.0447', '0.4692', 'NS']"
7.0,"['0.0377', '0.4692', 'NS']"
7.5,"['0.3239', '0.5232', 'NS']"
8.0,"['0.8601', '0.9031', 'NS']"
8.5,"['0.6984', '0.8148', 'NS']"
9.0,"['0.4179', '0.5487', 'NS']"
9.5,"['0.0980', '0.4853', 'NS']"
10.0,"['0.2178', '0.4853', 'NS']"
