Time,CLK_Out_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.6985', '0.7335', 'NS']"
1.0,"['0.1489', '0.2842', 'NS']"
1.5,"['0.3787', '0.5164', 'NS']"
2.0,"['0.5495', '0.6073', 'NS']"
2.5,"['0.3072', '0.5164', 'NS']"
3.0,"['0.4181', '0.5164', 'NS']"
3.5,"['0.4181', '0.5164', 'NS']"
4.0,"['0.3418', '0.5164', 'NS']"
4.5,"['0.1131', '0.2842', 'NS']"
5.0,"['0.0980', '0.2842', 'NS']"
5.5,"['0.0725', '0.2539', 'NS']"
6.0,"['0.0620', '0.2539', 'NS']"
6.5,"['0.0183', '0.1858', 'NS']"
7.0,"['0.0265', '0.1858', 'NS']"
7.5,"['0.1300', '0.2842', 'NS']"
8.0,"['0.5035', '0.5874', 'NS']"
8.5,"['0.4181', '0.5164', 'NS']"
9.0,"['0.1489', '0.2842', 'NS']"
9.5,"['0.0124', '0.1858', 'NS']"
10.0,"['0.0620', '0.2539', 'NS']"
