Time,CLK_Out_w3
0.0,"['0.6985', '0.6985', 'NS']"
0.5,"['0.1489', '0.4443', 'NS']"
1.0,"['0.2751', '0.4443', 'NS']"
1.5,"['0.5495', '0.6073', 'NS']"
2.0,"['0.2178', '0.4443', 'NS']"
2.5,"['0.4597', '0.5363', 'NS']"
3.0,"['0.4597', '0.5363', 'NS']"
3.5,"['0.2751', '0.4443', 'NS']"
4.0,"['0.1131', '0.4443', 'NS']"
4.5,"['0.1927', '0.4443', 'NS']"
5.0,"['0.1489', '0.4443', 'NS']"
5.5,"['0.0620', '0.4443', 'NS']"
6.0,"['0.0725', '0.4443', 'NS']"
6.5,"['0.3787', '0.5302', 'NS']"
7.0,"['0.0980', '0.4443', 'NS']"
7.5,"['0.1697', '0.4443', 'NS']"
8.0,"['0.2751', '0.4443', 'NS']"
8.5,"['0.5974', '0.6273', 'NS']"
9.0,"['0.0448', '0.4443', 'NS']"
9.5,"['0.3787', '0.5302', 'NS']"
10.0,"['0.4181', '0.5363', 'NS']"
