Time,CLK_Out_w1
0.0,"['1.0000', 'NS']"
0.5,"['0.1799', 'NS']"
1.0,"['0.0097', '**']"
1.5,"['0.1481', 'NS']"
2.0,"['0.0694', 'NS']"
2.5,"['0.1316', 'NS']"
3.0,"['0.0525', 'NS']"
3.5,"['0.2071', 'NS']"
4.0,"['0.2301', 'NS']"
4.5,"['0.0794', 'NS']"
5.0,"['0.2549', 'NS']"
5.5,"['0.1481', 'NS']"
6.0,"['0.6223', 'NS']"
6.5,"['0.7580', 'NS']"
7.0,"['0.8774', 'NS']"
7.5,"['0.1297', 'NS']"
8.0,"['0.0639', 'NS']"
8.5,"['0.0012', '**']"
9.0,"['0.0023', '**']"
9.5,"['0.0042', '**']"
10.0,"['0.0019', '**']"
