Time,CLK_Out_w1
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.1799', '0.3434', 'NS']"
1.0,"['0.0097', '0.2030', 'NS']"
1.5,"['0.1481', '0.3434', 'NS']"
2.0,"['0.0694', '0.3434', 'NS']"
2.5,"['0.1661', '0.3434', 'NS']"
3.0,"['0.1316', '0.3434', 'NS']"
3.5,"['0.6665', '0.7617', 'NS']"
4.0,"['1.0000', '1.0000', 'NS']"
4.5,"['0.4791', '0.6707', 'NS']"
5.0,"['0.2071', '0.3624', 'NS']"
5.5,"['0.6891', '0.7617', 'NS']"
6.0,"['0.2815', '0.4222', 'NS']"
6.5,"['0.1481', '0.3434', 'NS']"
7.0,"['0.1481', '0.3434', 'NS']"
7.5,"['0.6444', '0.7617', 'NS']"
8.0,"['0.1481', '0.3434', 'NS']"
8.5,"['0.6444', '0.7617', 'NS']"
9.0,"['0.1316', '0.3434', 'NS']"
9.5,"['0.2549', '0.4117', 'NS']"
10.0,"['0.0287', '0.3018', 'NS']"
