Time,CLK_Out_w1
0.0,"['1.0000', 'NS']"
0.5,"['0.2815', 'NS']"
1.0,"['0.8777', 'NS']"
1.5,"['0.5588', 'NS']"
2.0,"['0.1858', 'NS']"
2.5,"['0.3099', 'NS']"
3.0,"['0.3099', 'NS']"
3.5,"['0.2301', 'NS']"
4.0,"['0.2301', 'NS']"
4.5,"['0.1166', 'NS']"
5.0,"['0.0905', 'NS']"
5.5,"['0.3401', 'NS']"
6.0,"['0.4791', 'NS']"
6.5,"['0.6009', 'NS']"
7.0,"['0.5181', 'NS']"
7.5,"['0.2071', 'NS']"
8.0,"['0.0392', '*']"
8.5,"['0.0089', '**']"
9.0,"['0.0010', '***']"
9.5,"['0.0012', '**']"
10.0,"['0.0001', '***']"
