Time,W1118_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['1.0000', '1.0000', 'NS']"
1.0,"['1.0000', '1.0000', 'NS']"
1.5,"['1.0000', '1.0000', 'NS']"
2.0,"['0.3841', '0.7333', 'NS']"
2.5,"['0.6585', '0.9219', 'NS']"
3.0,"['0.4788', '0.7734', 'NS']"
3.5,"['0.3099', '0.7333', 'NS']"
4.0,"['0.3722', '0.7333', 'NS']"
4.5,"['0.2301', '0.7333', 'NS']"
5.0,"['0.1166', '0.7333', 'NS']"
5.5,"['0.0605', '0.7333', 'NS']"
6.0,"['0.3099', '0.7333', 'NS']"
6.5,"['0.3401', '0.7333', 'NS']"
7.0,"['0.4417', '0.7730', 'NS']"
7.5,"['0.7350', '0.9647', 'NS']"
8.0,"['0.6009', '0.9013', 'NS']"
8.5,"['1.0000', '1.0000', 'NS']"
9.0,"['0.3401', '0.7333', 'NS']"
9.5,"['0.2549', '0.7333', 'NS']"
10.0,"['0.2301', '0.7333', 'NS']"
