Time,W1118_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.8649', '0.9082', 'NS']"
1.0,"['0.4790', '0.8629', 'NS']"
1.5,"['0.2549', '0.6472', 'NS']"
2.0,"['0.2815', '0.6472', 'NS']"
2.5,"['0.0905', '0.4895', 'NS']"
3.0,"['0.1029', '0.4895', 'NS']"
3.5,"['0.1166', '0.4895', 'NS']"
4.0,"['0.1481', '0.5183', 'NS']"
4.5,"['0.0525', '0.4895', 'NS']"
5.0,"['0.0742', '0.4895', 'NS']"
5.5,"['0.1856', '0.5569', 'NS']"
6.0,"['0.7350', '0.8629', 'NS']"
6.5,"['0.5583', '0.8629', 'NS']"
7.0,"['0.3082', '0.6472', 'NS']"
7.5,"['0.6877', '0.8629', 'NS']"
8.0,"['0.7808', '0.8629', 'NS']"
8.5,"['0.5998', '0.8629', 'NS']"
9.0,"['0.7561', '0.8629', 'NS']"
9.5,"['0.7561', '0.8629', 'NS']"
10.0,"['0.5976', '0.8629', 'NS']"
