Time,W1118_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.8649', '1.0000', 'NS']"
1.0,"['0.4790', '0.6706', 'NS']"
1.5,"['0.2549', '0.5916', 'NS']"
2.0,"['0.2815', '0.5916', 'NS']"
2.5,"['0.0694', '0.5559', 'NS']"
3.0,"['0.0455', '0.5559', 'NS']"
3.5,"['0.1661', '0.5814', 'NS']"
4.0,"['0.4417', '0.6626', 'NS']"
4.5,"['0.9755', '1.0000', 'NS']"
5.0,"['0.3722', '0.6012', 'NS']"
5.5,"['0.0794', '0.5559', 'NS']"
6.0,"['0.1661', '0.5814', 'NS']"
6.5,"['0.3401', '0.5952', 'NS']"
7.0,"['0.3099', '0.5916', 'NS']"
7.5,"['0.7818', '0.9658', 'NS']"
8.0,"['0.6009', '0.7887', 'NS']"
8.5,"['1.0000', '1.0000', 'NS']"
9.0,"['0.2071', '0.5916', 'NS']"
9.5,"['0.3097', '0.5916', 'NS']"
10.0,"['0.1479', '0.5814', 'NS']"
