Time,W1118_w3
0.0,"['1.0000', '1.0000', 'NS']"
0.5,"['0.1661', '0.6513', 'NS']"
1.0,"['0.2549', '0.6513', 'NS']"
1.5,"['0.5588', '0.7823', 'NS']"
2.0,"['0.3722', '0.6513', 'NS']"
2.5,"['0.3099', '0.6513', 'NS']"
3.0,"['0.2549', '0.6513', 'NS']"
3.5,"['0.2815', '0.6513', 'NS']"
4.0,"['0.3722', '0.6513', 'NS']"
4.5,"['0.2301', '0.6513', 'NS']"
5.0,"['0.1481', '0.6513', 'NS']"
5.5,"['0.1166', '0.6513', 'NS']"
6.0,"['0.4060', '0.6559', 'NS']"
6.5,"['0.2549', '0.6513', 'NS']"
7.0,"['0.6444', '0.7960', 'NS']"
7.5,"['0.8777', '1.0000', 'NS']"
8.0,"['0.9264', '1.0000', 'NS']"
8.5,"['1.0000', '1.0000', 'NS']"
9.0,"['0.6444', '0.7960', 'NS']"
9.5,"['0.4417', '0.6626', 'NS']"
10.0,"['0.3401', '0.6513', 'NS']"
