Time,W1118_w3
0.0,"['0.1661', '0.5435', 'NS']"
0.5,"['0.2549', '0.5947', 'NS']"
1.0,"['0.6891', '0.9264', 'NS']"
1.5,"['0.4060', '0.8527', 'NS']"
2.0,"['0.1316', '0.5435', 'NS']"
2.5,"['0.0905', '0.5435', 'NS']"
3.0,"['0.2071', '0.5435', 'NS']"
3.5,"['0.7350', '0.9264', 'NS']"
4.0,"['0.2071', '0.5435', 'NS']"
4.5,"['0.8294', '0.9264', 'NS']"
5.0,"['0.6891', '0.9264', 'NS']"
5.5,"['0.7818', '0.9264', 'NS']"
6.0,"['0.8294', '0.9264', 'NS']"
6.5,"['0.1166', '0.5435', 'NS']"
7.0,"['0.1166', '0.5435', 'NS']"
7.5,"['0.9264', '0.9264', 'NS']"
8.0,"['0.5181', '0.9264', 'NS']"
8.5,"['0.6009', '0.9264', 'NS']"
9.0,"['0.1858', '0.5435', 'NS']"
9.5,"['0.9264', '0.9264', 'NS']"
10.0,"['0.9264', '0.9264', 'NS']"
